DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT,2023,46400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT1,2023,45400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT11,2023,33200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT12,2023,38300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT13,2023,53400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT2,2023,43200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT21,2023,44000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT22,2023,42800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT3,2023,49300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT31,2023,47200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT32,2023,56200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT33,2023,49000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AT34,2023,48500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE,2023,45400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE1,2023,73100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE10,2023,73100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE2,2023,46700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE21,2023,53600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE22,2023,36700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE23,2023,42800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE24,2023,49500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE25,2023,45600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE3,2023,33600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE31,2023,60600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE32,2023,27800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE33,2023,33300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE34,2023,28100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BE35,2023,30900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BG,2023,24300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BG3,2023,18400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,BG31,2023,16200,,
