fid,NUTS_ID,CNTR_CODE,NAME_LATN,gdp_pps_2023
"1",ITC4,IT,Lombardia,"50900"
"2",ITF1,IT,Abruzzo,"32300"
"3",ITF2,IT,Molise,"28200"
"4",ITF3,IT,Campania,"24600"
"5",ITF4,IT,Puglia,"24500"
"6",ITF5,IT,Basilicata,"28800"
"7",ITF6,IT,Calabria,"22000"
"8",ITG1,IT,Sicilia,"23100"
"9",ITG2,IT,Sardegna,"27600"
"10",ITH1,IT,Provincia Autonoma di Bolzano/Bozen,"63800"
"11",ITH2,IT,Provincia Autonoma di Trento,"48500"
"12",ITH3,IT,Veneto,"42200"
"13",ITH4,IT,Friuli-Venezia Giulia,"39100"
"14",ITH5,IT,Emilia-Romagna,"45400"
"15",ITI1,IT,Toscana,"39500"
"16",ITI2,IT,Umbria,"32600"
"17",ITI3,IT,Marche,"34500"
"18",ITI4,IT,Lazio,"43800"
"19",LI00,LI,Liechtenstein,
"20",LT01,LT,Sostinės regionas,"50100"
"21",LT02,LT,Vidurio ir vakarų Lietuvos regionas,"25600"
"22",LU00,LU,Luxembourg,"95100"
"23",LV00,LV,Latvija,"26700"
"24",ME00,ME,Crna Gora,"19900"
"25",MK00,MK,Severna Makedonija,"15800"
"26",MT00,MT,Malta,"41800"
"27",NL11,NL,Groningen,"46100"
"28",BA03,BA,Brčko District BiH,
"29",NL12,NL,Friesland (NL),"36900"
"30",NL13,NL,Drenthe,"35600"
"31",NL21,NL,Overijssel,"43000"
"32",NL22,NL,Gelderland,"42200"
"33",NL23,NL,Flevoland,"39600"
"34",NL32,NL,Noord-Holland,"66100"
"35",NL34,NL,Zeeland,"42900"
"36",NL35,NL,Utrecht,"60300"
"37",NL36,NL,Zuid-Holland,"48200"
"38",NL41,NL,Noord-Brabant,"51800"
"39",NL42,NL,Limburg (NL),"41900"
"40",NO02,NO,Innlandet,
"41",NO06,NO,Trøndelag/Trööndelage,
"42",NO0A,NO,Vestlandet,
"43",NO07,NO,Nord-Norge,
"44",NO08,NO,Oslo og Viken,
"45",NO09,NO,Agder og Sør-Østlandet,
"46",NO0B,NO,Svalbard og Jan Mayen,
"47",PL21,PL,Małopolskie,"26300"
"48",PL22,PL,Śląskie,"30400"
"49",PL41,PL,Wielkopolskie,"30900"
"50",PL42,PL,Zachodniopomorskie,"24200"
"51",PL43,PL,Lubuskie,"23600"
"52",PL51,PL,Dolnośląskie,"31500"
"53",PL52,PL,Opolskie,"23700"
"54",PL61,PL,Kujawsko-pomorskie,"23700"
"55",PL62,PL,Warmińsko-mazurskie,"20800"
"56",PL63,PL,Pomorskie,"28200"
"57",PL71,PL,Łódzkie,"28000"
"58",PL72,PL,Świętokrzyskie,"22100"
"59",PL81,PL,Lubelskie,"20300"
"60",PL82,PL,Podkarpackie,"21100"
"61",PL84,PL,Podlaskie,"22800"
"62",PL91,PL,Warszawski stołeczny,"59300"
"63",PL92,PL,Mazowiecki regionalny,"26800"
"64",PT11,PT,Norte,"26600"
"65",PT15,PT,Algarve,"33400"
"66",PT19,PT,Centro (PT),"26900"
"67",PT1A,PT,Grande Lisboa,"48800"
"68",PT1B,PT,Península de Setúbal,"20900"
"69",PT1C,PT,Alentejo,"29600"
"70",PT1D,PT,Oeste e Vale do Tejo,"24600"
"71",PT20,PT,Região Autónoma dos Açores,"27200"
"72",PT30,PT,Região Autónoma da Madeira,"33200"
"73",RO11,RO,Nord-Vest,"26500"
"74",RO12,RO,Centru,"26800"
"75",RO21,RO,Nord-Est,"17900"
"76",RO22,RO,Sud-Est,"22100"
"77",RO31,RO,Sud-Muntenia,"20600"
"78",RO32,RO,Bucureşti-Ilfov,"69400"
"79",RO41,RO,Sud-Vest Oltenia,"22600"
"80",RO42,RO,Vest,"29400"
"81",RS11,RS,City of Belgrade,"31500"
"82",RS12,RS,Autonomous Province of Vojvodina,"17600"
"83",RS21,RS,Region Šumadije i Zapadne Srbije,"11600"
"84",RS22,RS,Region Južne i Istočne Srbije,"13300"
"85",SE11,SE,Stockholm,"57800"
"86",SE12,SE,Östra Mellansverige,"36700"
"87",SE21,SE,Småland med öarna,"36300"
"88",SE22,SE,Sydsverige,"35900"
"89",SE23,SE,Västsverige,"42300"
"90",SE31,SE,Norra Mellansverige,"32600"
"91",SE32,SE,Mellersta Norrland,"36400"
"92",SE33,SE,Övre Norrland,"41900"
"93",SI03,SI,Vzhodna Slovenija,"28000"
"94",SI04,SI,Zahodna Slovenija,"42900"
"95",SK01,SK,Bratislavský kraj,"58000"
"96",SK02,SK,Západné Slovensko,"26600"
"97",SK03,SK,Stredné Slovensko,"23600"
"98",SK04,SK,Východné Slovensko,"20900"
"99",TR10,TR,İstanbul,"41400"
"100",TR21,TR,"Tekirdağ, Edirne, Kırklareli","30200"
"101",TR22,TR,"Balıkesir, Çanakkale","24100"
"102",TR31,TR,İzmir,"29700"
"103",TR32,TR,"Aydın, Denizli, Muğla","22200"
"104",TR33,TR,"Manisa, Afyonkarahisar, Kütahya, Uşak","21500"
"105",TR41,TR,"Bursa, Eskişehir, Bilecik","26800"
"106",TR42,TR,"Kocaeli, Sakarya, Düzce, Bolu, Yalova","34200"
"107",TR51,TR,Ankara,"39800"
"108",TR52,TR,"Konya, Karaman","20700"
"109",TR61,TR,"Antalya, Isparta, Burdur","26800"
"110",TR62,TR,"Adana, Mersin","20000"
"111",TR63,TR,"Hatay, Kahramanmaraş, Osmaniye","15200"
"112",TR71,TR,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","20000"
"113",ES13,ES,Cantabria,"31900"
"114",ES21,ES,País Vasco,"43800"
"115",ES22,ES,Comunidad Foral de Navarra,"41500"
"116",ES23,ES,La Rioja,"36400"
"117",ES24,ES,Aragón,"39000"
"118",ES30,ES,Comunidad de Madrid,"47900"
"119",ES41,ES,Castilla y León,"32900"
"120",ES42,ES,Castilla-La Mancha,"28200"
"121",ES43,ES,Extremadura,"26800"
"122",ES51,ES,Cataluña,"40000"
"123",ES52,ES,Comunitat Valenciana,"29800"
"124",TR72,TR,"Kayseri, Sivas, Yozgat","19200"
"125",TR81,TR,"Zonguldak, Karabük, Bartın","18800"
"126",TR82,TR,"Kastamonu, Çankırı, Sinop","19400"
"127",TR83,TR,"Samsun, Tokat, Çorum, Amasya","16700"
"128",TR90,TR,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane","15700"
"129",TRA1,TR,"Erzurum, Erzincan, Bayburt","16700"
"130",TRA2,TR,"Ağrı, Kars, Iğdır, Ardahan","12400"
"131",TRB1,TR,"Malatya, Elazığ, Bingöl, Tunceli","15900"
"132",TRB2,TR,"Van, Muş, Bitlis, Hakkari","10700"
"133",TRC1,TR,"Gaziantep, Adıyaman, Kilis","15200"
"134",ES53,ES,Illes Balears,"38200"
"135",ES61,ES,Andalucía,"26000"
"136",ES62,ES,Región de Murcia,"28700"
"137",ES63,ES,Ciudad de Ceuta,"25200"
"138",ES64,ES,Ciudad de Melilla,"23000"
"139",ES70,ES,Canarias,"27200"
"140",FI19,FI,Länsi-Suomi,"36000"
"141",FI1B,FI,Helsinki-Uusimaa,"50400"
"142",FI1C,FI,Etelä-Suomi,"34300"
"143",TRC2,TR,"Şanlıurfa, Diyarbakır","10100"
"144",TRC3,TR,"Mardin, Batman, Şırnak, Siirt","13200"
"145",FI1D,FI,Pohjois- ja Itä-Suomi,"33700"
"146",FI20,FI,Åland,"43600"
"147",FR10,FR,Ile-de-France,"61500"
"148",FRB0,FR,Centre — Val de Loire,"32000"
"149",FRC1,FR,Bourgogne,"32000"
"150",FRC2,FR,Franche-Comté,"28800"
"151",FRD1,FR,Basse-Normandie,"31200"
"152",FRD2,FR,Haute-Normandie,"32200"
"153",FRE1,FR,Nord-Pas de Calais,"30000"
"154",FRE2,FR,Picardie,"28200"
"155",FRF1,FR,Alsace,"34900"
"156",FRF2,FR,Champagne-Ardenne,"34000"
"157",FRF3,FR,Lorraine,"28100"
"158",FRG0,FR,Pays de la Loire,"33800"
"159",FRH0,FR,Bretagne,"32600"
"160",FRI1,FR,Aquitaine,"33900"
"161",FRI2,FR,Limousin,"29000"
"162",FRI3,FR,Poitou-Charentes,"31800"
"163",FRJ1,FR,Languedoc-Roussillon,"29800"
"164",FRJ2,FR,Midi-Pyrénées,"34600"
"165",FRK1,FR,Auvergne,"30900"
"166",FRK2,FR,Rhône-Alpes,"39000"
"167",FRL0,FR,Provence-Alpes-Côte d’Azur,"37300"
"168",FRM0,FR,Corse,"33100"
"169",FRY1,FR,Guadeloupe,"25300"
"170",FRY2,FR,Martinique,"26200"
"171",FRY3,FR,Guyane,"16300"
"172",FRY4,FR,La Réunion,"24600"
"173",FRY5,FR,Mayotte,"11000"
"174",HR02,HR,Panonska Hrvatska,"20200"
"175",HR03,HR,Jadranska Hrvatska,"27900"
"176",HR05,HR,Grad Zagreb,"50200"
"177",HR06,HR,Sjeverna Hrvatska,"25200"
"178",HU11,HU,Budapest,"63000"
"179",HU12,HU,Pest,"24800"
"180",HU21,HU,Közép-Dunántúl,"25400"
"181",XK00,XK,Kosovo,
"182",HU22,HU,Nyugat-Dunántúl,"25600"
"183",HU23,HU,Dél-Dunántúl,"19100"
"184",HU31,HU,Észak-Magyarország,"18300"
"185",HU32,HU,Észak-Alföld,"18900"
"186",HU33,HU,Dél-Alföld,"20600"
"187",IE04,IE,Northern and Western,"40000"
"188",IE05,IE,Southern,"87900"
"189",IE06,IE,Eastern and Midland,"96300"
"190",IS00,IS,Ísland,
"191",ITC1,IT,Piemonte,"38800"
"192",ITC2,IT,Valle d’Aosta/Vallée d’Aoste,"48900"
"193",ITC3,IT,Liguria,"40200"
"194",AL01,AL,Veri,
"195",AL02,AL,Qender,
"196",AL03,AL,Jug,
"197",AT11,AT,Burgenland,"33200"
"198",AT12,AT,Niederösterreich,"38300"
"199",AT13,AT,Wien,"53400"
"200",AT21,AT,Kärnten,"44000"
"201",AT22,AT,Steiermark,"42800"
"202",AT31,AT,Oberösterreich,"47200"
"203",AT32,AT,Salzburg,"56200"
"204",AT33,AT,Tirol,"49000"
"205",AT34,AT,Vorarlberg,"48500"
"206",BA01,BA,Federacija Bosne i Hercegovine,
"207",BA02,BA,Republika Srpska,
"208",BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,"73100"
"209",BE21,BE,Prov. Antwerpen,"53600"
"210",BE22,BE,Prov. Limburg (BE),"36700"
"211",BE23,BE,Prov. Oost-Vlaanderen,"42800"
"212",BE24,BE,Prov. Vlaams-Brabant,"49500"
"213",BE25,BE,Prov. West-Vlaanderen,"45600"
"214",BE31,BE,Prov. Brabant wallon,"60600"
"215",BE32,BE,Prov. Hainaut,"27800"
"216",BE33,BE,Prov. Liège,"33300"
"217",BE34,BE,Prov. Luxembourg (BE),"28100"
"218",BE35,BE,Prov. Namur,"30900"
"219",BG31,BG,Severozapaden,"16200"
"220",DK03,DK,Syddanmark,"41900"
"221",DK04,DK,Midtjylland,"42000"
"222",DK05,DK,Nordjylland,"38500"
"223",EE00,EE,Eesti,"30600"
"224",EL30,EL,Attiki,"36700"
"225",EL41,EL,Voreio Aigaio,"16200"
"226",EL42,EL,Notio Aigaio,"26600"
"227",EL43,EL,Kriti,"22600"
"228",EL51,EL,"Anatoliki Makedonia, Thraki","17100"
"229",EL52,EL,Kentriki Makedonia,"20900"
"230",EL53,EL,Dytiki Makedonia,"19200"
"231",EL54,EL,Ipeiros,"17000"
"232",EL61,EL,Thessalia,"20100"
"233",EL62,EL,Ionia Nisia,"24000"
"234",EL63,EL,Dytiki Elláda,"18800"
"235",EL64,EL,Sterea Elláda,"22800"
"236",EL65,EL,Peloponnisos,"22000"
"237",ES11,ES,Galicia,"32200"
"238",ES12,ES,Principado de Asturias,"31600"
"239",BG32,BG,Severen tsentralen,"16700"
"240",BG33,BG,Severoiztochen,"19000"
"241",BG34,BG,Yugoiztochen,"20700"
"242",BG41,BG,Yugozapaden,"38800"
"243",BG42,BG,Yuzhen tsentralen,"15700"
"244",CH01,CH,Région lémanique,
"245",CH02,CH,Espace Mittelland,
"246",CH03,CH,Nordwestschweiz,
"247",CH04,CH,Zürich,
"248",CH05,CH,Ostschweiz,
"249",CH06,CH,Zentralschweiz,
"250",CH07,CH,Ticino,
"251",CY00,CY,Kýpros,"37400"
"252",CZ01,CZ,Praha,"75700"
"253",CZ02,CZ,Střední Čechy,"31500"
"254",CZ03,CZ,Jihozápad,"29400"
"255",CZ04,CZ,Severozápad,"23800"
"256",CZ05,CZ,Severovýchod,"28400"
"257",CZ06,CZ,Jihovýchod,"32800"
