fid,NUTS_ID,CNTR_CODE,NAME_LATN,gdp_pps_2023,ntl_count,ntl_sum,ntl_mean
"1",ITC4,IT,Lombardia,"50900",39626,1209534,30.5237470347751
"2",ITF1,IT,Abruzzo,"32300",16900,356030,21.0668639053254
"3",ITF2,IT,Molise,"28200",6974,109349,15.6795239460855
"4",ITF3,IT,Campania,"24600",20835,614686,29.5025677945764
"5",ITF4,IT,Puglia,"24500",29601,789712,26.678558156819
"6",ITF5,IT,Basilicata,"28800",15469,228722,14.7858297239641
"7",ITF6,IT,Calabria,"22000",22437,432830,19.2909034184606
"8",ITG1,IT,Sicilia,"23100",37447,810247,21.6371671963041
"9",ITG2,IT,Sardegna,"27600",36838,424235,11.5162332374179
"10",ITH1,IT,Provincia Autonoma di Bolzano/Bozen,"63800",12675,81422,6.42382642998028
"11",ITH2,IT,Provincia Autonoma di Trento,"48500",10142,126422,12.4651942417669
"12",ITH3,IT,Veneto,"42200",29964,898148,29.9742357495661
"13",ITH4,IT,Friuli-Venezia Giulia,"39100",13201,236334,17.9027346413151
"14",ITH5,IT,Emilia-Romagna,"45400",36874,967427,26.2360199598633
"15",ITI1,IT,Toscana,"39500",37133,696798,18.7649260765357
"16",ITI2,IT,Umbria,"32600",13531,245947,18.1765575345503
"17",ITI3,IT,Marche,"34500",14831,364105,24.5502663340301
"18",ITI4,IT,Lazio,"43800",27004,703684,26.0585098503925
"19",LI00,LI,Liechtenstein,,250,3396,13.584
"20",LT01,LT,Sostinės regionas,"50100",19309,124740,6.46019990677922
"21",LT02,LT,Vidurio ir vakarų Lietuvos regionas,"25600",112061,309168,2.75892594212081
"22",LU00,LU,Luxembourg,"95100",4664,86865,18.6245711835334
"23",LV00,LV,Latvija,"26700",137070,457239,3.33580652221493
"24",ME00,ME,Crna Gora,"19900",21979,159873,7.27389781154739
"25",MK00,MK,Severna Makedonija,"15800",39301,259311,6.59807638482481
"26",MT00,MT,Malta,"41800",362,19516,53.9116022099448
"27",NL11,NL,Groningen,"46100",4659,51596,11.0744795020391
"28",BA03,BA,Brčko District BiH,,754,15733,20.8660477453581
"29",NL12,NL,Friesland (NL),"36900",7397,55188,7.46086251182912
"30",NL13,NL,Drenthe,"35600",5131,52031,10.1405184174625
"31",NL21,NL,Overijssel,"43000",6484,104751,16.1553053670574
"32",NL22,NL,Gelderland,"42200",9713,205947,21.2032327808092
"33",NL23,NL,Flevoland,"39600",4357,53459,12.2696809731467
"34",NL32,NL,Noord-Holland,"66100",6623,202285,30.5428053752076
"35",NL34,NL,Zeeland,"42900",3253,51347,15.7845066092837
"36",NL35,NL,Utrecht,"60300",3084,105076,34.0713359273671
"37",NL36,NL,Zuid-Holland,"48200",5917,254341,42.9847895893189
"38",NL41,NL,Noord-Brabant,"51800",9339,299588,32.0792376057394
"39",NL42,NL,Limburg (NL),"41900",4124,137494,33.3399612027158
"40",NO02,NO,Innlandet,,126229,631275,5.00102987427612
"41",NO06,NO,Trøndelag/Trööndelage,,112824,489731,4.3406633340424
"42",NO0A,NO,Vestlandet,,145428,837672,5.76004620843304
"43",NO07,NO,Nord-Norge,,371689,1427208,3.83979079284025
"44",NO08,NO,Oslo og Viken,,58682,847890,14.448894039058
"45",NO09,NO,Agder og Sør-Østlandet,,76520,557859,7.29036853110298
"46",NO0B,NO,Svalbard og Jan Mayen,,2258,545,0.241364038972542
"47",PL21,PL,Małopolskie,"26300",27206,390328,14.3471293097111
"48",PL22,PL,Śląskie,"30400",22501,479345,21.3032754099818
"49",PL41,PL,Wielkopolskie,"30900",56588,583579,10.312769491765
"50",PL42,PL,Zachodniopomorskie,"24200",44116,267330,6.05970622903255
"51",PL43,PL,Lubuskie,"23600",26514,202498,7.6373991099042
"52",PL51,PL,Dolnośląskie,"31500",36940,460524,12.4668110449377
"53",PL52,PL,Opolskie,"23700",17250,169604,9.83211594202899
"54",PL61,PL,Kujawsko-pomorskie,"23700",34755,278203,8.0046899726658
"55",PL62,PL,Warmińsko-mazurskie,"20800",47317,221567,4.68260878753936
"56",PL63,PL,Pomorskie,"28200",35978,312045,8.67321696592362
"57",PL71,PL,Łódzkie,"28000",34094,326914,9.58860796621106
"58",PL72,PL,Świętokrzyskie,"22100",21575,171251,7.93747392815759
"59",PL81,PL,Lubelskie,"20300",46372,212983,4.59292245320452
"60",PL82,PL,Podkarpackie,"21100",32275,177874,5.51120061967467
"61",PL84,PL,Podlaskie,"22800",39383,156138,3.96460401696163
"62",PL91,PL,Warszawski stołeczny,"59300",11647,294193,25.2591225208208
"63",PL92,PL,Mazowiecki regionalny,"26800",55765,349984,6.27605128664933
"64",PT11,PT,Norte,"26600",33030,640561,19.3933091129276
"65",PT15,PT,Algarve,"33400",7129,138397,19.4132416888764
"66",PT19,PT,Centro (PT),"26900",35303,617588,17.4939240291193
"67",PT1A,PT,Grande Lisboa,"48800",1861,95620,51.380977968834
"68",PT1B,PT,Península de Setúbal,"20900",2193,77381,35.2854537163703
"69",PT1C,PT,Alentejo,"29600",40625,277109,6.82114461538462
"70",PT1D,PT,Oeste e Vale do Tejo,"24600",13766,284789,20.6878541333721
"71",PT20,PT,Região Autónoma dos Açores,"27200",3087,31002,10.0427599611273
"72",PT30,PT,Região Autónoma da Madeira,"33200",1194,26168,21.9162479061977
"73",RO11,RO,Nord-Vest,"26500",58374,304422,5.21502723815397
"74",RO12,RO,Centru,"26800",57169,280833,4.91233010897514
"75",RO21,RO,Nord-Est,"17900",63022,326696,5.18384056361271
"76",RO22,RO,Sud-Est,"22100",58286,371641,6.37616237175308
"77",RO31,RO,Sud-Muntenia,"20600",56291,556154,9.87998081398447
"78",RO32,RO,Bucureşti-Ilfov,"69400",2759,108923,39.4791591156216
"79",RO41,RO,Sud-Vest Oltenia,"22600",48148,373252,7.75218077594085
"80",RO42,RO,Vest,"29400",52883,260331,4.92277291379082
"81",RS11,RS,City of Belgrade,"31500",5339,196147,36.7385278141974
"82",RS12,RS,Autonomous Province of Vojvodina,"17600",35357,407888,11.5362728738298
"83",RS21,RS,Region Šumadije i Zapadne Srbije,"11600",42758,523183,12.2359090696478
"84",RS22,RS,Region Južne i Istočne Srbije,"13300",41974,401585,9.56747033878115
"85",SE11,SE,Stockholm,"57800",17980,364818,20.2902113459399
"86",SE12,SE,Östra Mellansverige,"36700",98309,687144,6.98963472316878
"87",SE21,SE,Småland med öarna,"36300",76749,391573,5.10199481426468
"88",SE22,SE,Sydsverige,"35900",29161,316445,10.8516511779431
"89",SE23,SE,Västsverige,"42300",76670,574747,7.49637407069258
"90",SE31,SE,Norra Mellansverige,"32600",170823,836690,4.89799382987068
"91",SE32,SE,Mellersta Norrland,"36400",198596,606925,3.0560786722794
"92",SE33,SE,Övre Norrland,"41900",474456,1262778,2.66152815013405
"93",SI03,SI,Vzhodna Slovenija,"28000",20516,145155,7.07520959251316
"94",SI04,SI,Zahodna Slovenija,"42900",12923,99366,7.68908148262787
"95",SK01,SK,Bratislavský kraj,"58000",3672,73264,19.9520697167756
"96",SK02,SK,Západné Slovensko,"26600",25691,227471,8.85411233505897
"97",SK03,SK,Stredné Slovensko,"23600",28987,150253,5.18346155173009
"98",SK04,SK,Východné Slovensko,"20900",27726,128710,4.6422130851908
"99",TR10,TR,İstanbul,"41400",7788,286969,36.8475860297894
"100",TR21,TR,"Tekirdağ, Edirne, Kırklareli","30200",28612,418573,14.6292814203831
"101",TR22,TR,"Balıkesir, Çanakkale","24100",37057,457193,12.3375610545916
"102",TR31,TR,İzmir,"29700",18250,447898,24.5423561643836
"103",TR32,TR,"Aydın, Denizli, Muğla","22200",48518,703357,14.496825920277
"104",TR33,TR,"Manisa, Afyonkarahisar, Kütahya, Uşak","21500",66806,863157,12.9203514654372
"105",TR41,TR,"Bursa, Eskişehir, Bilecik","26800",43761,586887,13.4111880441489
"106",TR42,TR,"Kocaeli, Sakarya, Düzce, Bolu, Yalova","34200",30562,521821,17.0741770826517
"107",TR51,TR,Ankara,"39800",38976,598142,15.3464183087028
"108",TR52,TR,"Konya, Karaman","20700",72815,768467,10.5536908603996
"109",TR61,TR,"Antalya, Isparta, Burdur","26800",53373,703334,13.1777115770146
"110",TR62,TR,"Adana, Mersin","20000",43276,581870,13.445558739255
"111",TR63,TR,"Hatay, Kahramanmaraş, Osmaniye","15200",34081,547515,16.0651095918547
"112",TR71,TR,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","20000",47699,653276,13.6958007505398
"113",ES13,ES,Cantabria,"31900",8547,122105,14.2862992862993
"114",ES21,ES,País Vasco,"43800",11260,252689,22.441296625222
"115",ES22,ES,Comunidad Foral de Navarra,"41500",16596,202727,12.2154133526151
"116",ES23,ES,La Rioja,"36400",8002,102755,12.8411647088228
"117",ES24,ES,Aragón,"39000",74160,497576,6.70949298813377
"118",ES30,ES,Comunidad de Madrid,"47900",12341,413197,33.4816465440402
"119",ES41,ES,Castilla y León,"32900",147099,1082638,7.35992766776117
"120",ES42,ES,Castilla-La Mancha,"28200",119597,857283,7.1680978619865
"121",ES43,ES,Extremadura,"26800",62677,322253,5.1414873079439
"122",ES51,ES,Cataluña,"40000",49803,873390,17.5368953677489
"123",ES52,ES,Comunitat Valenciana,"29800",34740,725782,20.8918249856074
"124",TR72,TR,"Kayseri, Sivas, Yozgat","19200",88864,812234,9.14019175369103
"125",TR81,TR,"Zonguldak, Karabük, Bartın","18800",15331,237811,15.5117735307547
"126",TR82,TR,"Kastamonu, Çankırı, Sinop","19400",41109,368219,8.95713833953636
"127",TR83,TR,"Samsun, Tokat, Çorum, Amasya","16700",58254,718945,12.3415559446562
"128",TR90,TR,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane","15700",54418,737098,13.5451137491271
"129",TRA1,TR,"Erzurum, Erzincan, Bayburt","16700",61511,532475,8.65658174960576
"130",TRA2,TR,"Ağrı, Kars, Iğdır, Ardahan","12400",45701,498621,10.9105052405855
"131",TRB1,TR,"Malatya, Elazığ, Bingöl, Tunceli","15900",55999,559390,9.98928552295577
"132",TRB2,TR,"Van, Muş, Bitlis, Hakkari","10700",66344,771150,11.6235077776438
"133",TRC1,TR,"Gaziantep, Adıyaman, Kilis","15200",22796,367793,16.1341024741183
"134",ES53,ES,Illes Balears,"38200",7194,146363,20.345148735057
"135",ES61,ES,Andalucía,"26000",128472,1571514,12.2323463478423
"136",ES62,ES,Región de Murcia,"28700",16617,343171,20.6518023710658
"137",ES63,ES,Ciudad de Ceuta,"25200",7,401,57.2857142857143
"138",ES64,ES,Ciudad de Melilla,"23000",8,503,62.875
"139",ES70,ES,Canarias,"27200",9430,178509,18.9299045599152
"140",FI19,FI,Länsi-Suomi,"36000",162639,1478701,9.09192137187268
"141",FI1B,FI,Helsinki-Uusimaa,"50400",23286,511726,21.9756935497724
"142",FI1C,FI,Etelä-Suomi,"34300",86292,908820,10.531914893617
"143",TRC2,TR,"Şanlıurfa, Diyarbakır","10100",50084,674965,13.476659212523
"144",TRC3,TR,"Mardin, Batman, Şırnak, Siirt","13200",38350,532790,13.8928292046936
"145",FI1D,FI,Pohjois- ja Itä-Suomi,"33700",637654,1967893,3.08614546446819
"146",FI20,FI,Åland,"43600",4676,10762,2.30153977758768
"147",FR10,FR,Ile-de-France,"61500",21418,482032,22.505929591932
"148",FRB0,FR,Centre — Val de Loire,"32000",68362,287293,4.20252479447646
"149",FRC1,FR,Bourgogne,"32000",54127,161203,2.97823637001866
"150",FRC2,FR,Franche-Comté,"28800",28003,130124,4.64678784415955
"151",FRD1,FR,Basse-Normandie,"31200",31140,117575,3.77569043031471
"152",FRD2,FR,Haute-Normandie,"32200",21815,178063,8.16241118496447
"153",FRE1,FR,Nord-Pas de Calais,"30000",22559,349353,15.4861917638193
"154",FRE2,FR,Picardie,"28200",34911,252156,7.22282375182607
"155",FRF1,FR,Alsace,"34900",14687,188783,12.8537482127051
"156",FRF2,FR,Champagne-Ardenne,"34000",45498,213483,4.69214031385995
"157",FRF3,FR,Lorraine,"28100",41569,279739,6.7295099713729
"158",FRG0,FR,Pays de la Loire,"33800",55451,275786,4.97350814232385
"159",FRH0,FR,Bretagne,"32600",47136,200157,4.24637219959267
"160",FRI1,FR,Aquitaine,"33900",68043,488640,7.181341210705
"161",FRI2,FR,Limousin,"29000",28241,52070,1.84377323749159
"162",FRI3,FR,Poitou-Charentes,"31800",43249,118350,2.7364794561724
"163",FRJ1,FR,Languedoc-Roussillon,"29800",44745,445686,9.96057660073751
"164",FRJ2,FR,Midi-Pyrénées,"34600",73270,494931,6.7548928620172
"165",FRK1,FR,Auvergne,"30900",43412,149199,3.43681470561135
"166",FRK2,FR,Rhône-Alpes,"39000",74581,743653,9.97107842479988
"167",FRL0,FR,Provence-Alpes-Côte d’Azur,"37300",51181,634984,12.406635274809
"168",FRM0,FR,Corse,"33100",13529,66188,4.89230541799098
"169",FRY1,FR,Guadeloupe,"25300",1895,36097,19.0485488126649
"170",FRY2,FR,Martinique,"26200",1034,27675,26.7649903288201
"171",FRY3,FR,Guyane,"16300",98334,19360,0.196880021152399
"172",FRY4,FR,La Réunion,"24600",3098,44431,14.3418334409296
"173",FRY5,FR,Mayotte,"11000",420,6396,15.2285714285714
"174",HR02,HR,Panonska Hrvatska,"20200",38587,232116,6.01539378547179
"175",HR03,HR,Jadranska Hrvatska,"27900",38922,367601,9.44455577822311
"176",HR05,HR,Grad Zagreb,"50200",972,47930,49.3106995884774
"177",HR06,HR,Sjeverna Hrvatska,"25200",13794,160056,11.603305785124
"178",HU11,HU,Budapest,"63000",897,54235,60.4626532887402
"179",HU12,HU,Pest,"24800",10971,159907,14.5754261234163
"180",HU21,HU,Közép-Dunántúl,"25400",19483,162276,8.32910742698763
"181",XK00,XK,Kosovo,,17518,280513,16.0128439319557
"182",HU22,HU,Nyugat-Dunántúl,"25600",19300,135602,7.0260103626943
"183",HU23,HU,Dél-Dunántúl,"19100",23659,107878,4.55970243881821
"184",HU31,HU,Észak-Magyarország,"18300",22955,143992,6.27279459812677
"185",HU32,HU,Észak-Alföld,"18900",30547,185125,6.06033325694831
"186",HU33,HU,Dél-Alföld,"20600",31304,183220,5.85292614362382
"187",IE04,IE,Northern and Western,"40000",50242,169743,3.3785080211775
"188",IE05,IE,Southern,"87900",55643,283111,5.08798950451989
"189",IE06,IE,Eastern and Midland,"96300",28109,259051,9.21594507097371
"190",IS00,IS,Ísland,,280650,378943,1.35023338678069
"191",ITC1,IT,Piemonte,"38800",41892,877307,20.9421130526115
"192",ITC2,IT,Valle d’Aosta/Vallée d’Aoste,"48900",5333,49031,9.19388711794487
"193",ITC3,IT,Liguria,"40200",8684,182622,21.0297098111469
"194",AL01,AL,Veri,,16606,116101,6.99150909309888
"195",AL02,AL,Qender,,7568,88134,11.6456131078224
"196",AL03,AL,Jug,,19872,142504,7.17109500805153
"197",AT11,AT,Burgenland,"33200",6802,57215,8.41149661864158
"198",AT12,AT,Niederösterreich,"38300",33429,318917,9.54012982739538
"199",AT13,AT,Wien,"53400",629,35788,56.8966613672496
"200",AT21,AT,Kärnten,"44000",16079,51790,3.2209714534486
"201",AT22,AT,Steiermark,"42800",28147,140454,4.99001669804953
"202",AT31,AT,Oberösterreich,"47200",20817,143046,6.8715953307393
"203",AT32,AT,Salzburg,"56200",12434,60194,4.84108090718996
"204",AT33,AT,Tirol,"49000",21656,122969,5.67828777244182
